timestamp_ns,latency_us,ok,burst
1771606174591678607,1389,true,false
1771606174593074111,1459,true,false
1771606174594345383,1520,true,false
1771606174595850389,1676,true,false
1771606174597273939,1283,true,false
1771606174598555234,1131,true,false
1771606174599676649,1620,true,false
1771606174601257828,1745,true,false
1771606174602807429,1360,true,false
1771606174604157700,1243,true,false
1771606174605405244,1205,true,false
1771606174606608097,1095,true,false
1771606174607700362,1202,true,false
1771606174608902937,1398,true,false
1771606174610136809,1487,true,false
1771606174611624524,1373,true,false
1771606174612931217,1123,true,false
1771606174614048518,1384,true,false
1771606174615353163,1359,true,false
1771606174616709014,1184,true,false
1771606174617890546,1420,true,false
1771606174619117636,1080,true,false
1771606174620200305,1352,true,false
1771606174621488699,1431,true,false
1771606174622913151,1404,true,false
1771606174624148753,1572,true,false
1771606174625563181,1424,true,false
1771606174626987606,1357,true,false
1771606174628253463,1075,true,false
1771606174629326998,1431,true,false
1771606174630602441,1356,true,false
1771606174631947260,1290,true,false
1771606174633246682,1334,true,false
1771606174634537329,1104,true,false
1771606174635635038,1207,true,false
1771606174636841344,1194,true,false
1771606174638037690,1545,true,false
1771606174639570033,1672,true,false
1771606174641005083,1625,true,false
1771606174642505777,1546,true,false
1771606174643966322,1626,true,false
1771606174645373737,1664,true,false
1771606174646852455,1538,true,false
1771606174648322619,1373,true,false
1771606174649618338,1452,true,false
1771606174651070466,1192,true,false
1771606174652254656,1482,true,false
1771606174653746401,1466,true,false
1771606174655213019,1344,true,false
1771606174656545485,1211,true,false
1771606174657762517,1187,true,false
1771606174658944543,1462,true,false
1771606174660399660,1079,true,false
1771606174661479949,1372,true,false
1771606174662760652,1406,true,false
1771606174664172019,1529,true,false
1771606174665701122,1197,true,false
1771606174666889291,1179,true,false
1771606174668068896,1180,true,false
1771606174669250896,980,true,false
1771606174670548904,1484,true,false
1771606174671883536,1299,true,false
1771606174673170415,1301,true,false
1771606174674478070,1769,true,false
1771606174675907847,1338,true,false
1771606174677245401,1388,true,false
1771606174678628951,1649,true,false
1771606174680082946,1577,true,false
1771606174681662692,1723,true,false
1771606174683089857,1386,true,false
1771606174684460752,1711,true,false
1771606174685951450,1238,true,false
1771606174687191455,1041,true,false
1771606174688236121,1368,true,false
1771606174689601973,1542,true,false
1771606174691033206,1518,true,false
1771606174692439599,1310,true,false
1771606174693752485,1570,true,false
1771606174695217677,1668,true,false
1771606174696713954,1542,true,false
1771606174698254820,1475,true,false
1771606174699733019,1516,true,false
1771606174701105392,1572,true,false
1771606174702523887,1248,true,false
1771606174703776533,1375,true,false
1771606174705097031,1342,true,false
1771606174706419240,1268,true,false
1771606174707689071,1420,true,false
1771606174709011507,1079,true,false
1771606174710092367,1347,true,false
1771606174711353525,1412,true,false
1771606174712641077,1205,true,false
1771606174713838173,1425,true,false
1771606174715094325,1307,true,false
1771606174716397170,1604,true,false
1771606174717724822,1230,true,false
1771606174718948054,1708,true,false
1771606174720391883,1310,true,false
1771606174721703337,1523,true,false
1771606174723225741,1200,true,false
1771606174724417820,1452,true,false
1771606174725867572,1674,true,false
1771606174727366752,1418,true,false
1771606174728784035,1494,true,false
1771606174730274302,1710,true,false
1771606174731822420,1578,true,false
1771606174733323958,1619,true,false
1771606174734759030,1512,true,false
1771606174736276534,1611,true,false
1771606174737733863,1600,true,false
1771606174739076248,1364,true,false
1771606174740445048,1429,true,false
1771606174741725034,1574,true,false
1771606174743228710,1221,true,false
1771606174744450303,1082,true,false
1771606174745530939,1545,true,false
1771606174746936279,1237,true,false
1771606174748158931,1611,true,false
1771606174749480360,1424,true,false
1771606174750901026,1279,true,false
1771606174752177815,1589,true,false
1771606174753607754,1556,true,false
1771606174755047893,1365,true,false
1771606174756383732,1346,true,false
1771606174757723546,1625,true,false
1771606174759142311,1319,true,false
1771606174760495541,1327,true,false
1771606174761812756,1357,true,false
1771606174763167329,1289,true,false
1771606174764446614,1663,true,false
1771606174765898772,1467,true,false
1771606174767372051,1646,true,false
1771606174768896111,1188,true,false
1771606174770086031,1619,true,false
1771606174771540712,1311,true,false
1771606174772845458,1388,true,false
1771606174774239997,1407,true,false
1771606174775501852,1544,true,false
1771606174777026942,1267,true,false
1771606174778300015,1688,true,false
1771606174779757541,1620,true,false
1771606174781343869,1521,true,false
1771606174782781946,1241,true,false
1771606174784019998,1743,true,false
1771606174785425340,1274,true,false
1771606174786702210,1302,true,false
1771606174788017797,1443,true,false
1771606174789466410,1640,true,false
1771606174790971617,1404,true,false
1771606174792328237,1185,true,false
1771606174793515453,1632,true,false
1771606174794999831,1173,true,false
1771606174796172795,988,true,false
1771606174797181578,1639,true,false
1771606174798644195,1198,true,false
1771606174799851218,1577,true,false
1771606174801260756,1221,true,false
1771606174802489980,1566,true,false
1771606174803899355,1201,true,false
1771606174805104146,1332,true,false
1771606174806378935,1540,true,false
1771606174807827874,1492,true,false
1771606174809158756,1544,true,false
1771606174810535070,1145,true,false
1771606174811684154,1618,true,false
1771606174813161332,1389,true,false
1771606174814553935,1566,true,false
1771606174815961859,1442,true,false
1771606174817405723,1038,true,false
1771606174818443169,995,true,false
1771606174819444193,990,true,false
1771606174820448996,1267,true,false
1771606174821721396,1362,true,false
1771606174823087553,1545,true,false
1771606174824553324,1134,true,false
1771606174825689416,1629,true,false
1771606174827244464,1354,true,false
1771606174828605910,1677,true,false
1771606174830114033,1643,true,false
1771606174831622415,1177,true,false
1771606174832802349,1200,true,false
1771606174834000567,1439,true,false
1771606174835231580,1175,true,false
1771606174836403809,1448,true,false
1771606174837666947,1285,true,false
1771606174838955550,1342,true,false
1771606174840198206,1591,true,false
1771606174841790132,1512,true,false
1771606174843130794,1532,true,false
1771606174844546592,1406,true,false
1771606174845895018,1078,true,false
1771606174846975377,1542,true,false
1771606174848391442,1522,true,false
1771606174849904932,1240,true,false
1771606174851151375,1361,true,false
1771606174852516373,1479,true,false
1771606174853894473,1130,true,false
1771606174855024936,1365,true,false
1771606174856399905,1176,true,false
1771606174857578447,1475,true,false
1771606174858839370,1328,true,false
1771606174860173344,1538,true,false
1771606174861596138,1416,true,false
1771606174863018111,1547,true,false
1771606174864390561,1438,true,false
1771606174865825806,1529,true,false
1771606174867181453,1279,true,false
1771606174868460781,1453,true,false
1771606174869825224,1695,true,false
1771606174871368930,1262,true,false
1771606174872629734,1488,true,false
1771606174874128095,1118,true,false
1771606174875250260,1156,true,false
1771606174876409315,1068,true,false
1771606174877472228,1443,true,false
1771606174878777736,1514,true,false
1771606174880175479,3090,true,false
1771606174881692038,1748,true,false
1771606174883259600,1680,true,false
1771606174884681363,1421,true,false
1771606174886101896,1547,true,false
1771606174887452414,1331,true,false
1771606174888803616,1832,true,false
1771606174890128419,1203,true,false
1771606174891332865,1449,true,false
1771606174892681036,1363,true,false
1771606174894047444,1239,true,false
1771606174895284941,1040,true,false
1771606174896324588,1379,true,false
1771606174897706452,1317,true,false
1771606174899024092,1588,true,false
1771606174900475679,1567,true,false
1771606174901887739,1408,true,false
1771606174903297795,1108,true,false
1771606174904407182,1261,true,false
1771606174905667950,1114,true,false
1771606174906786104,1617,true,false
1771606174908183987,1378,true,false
1771606174909565148,1213,true,false
1771606174910788322,1429,true,false
1771606174912120610,983,true,false
1771606174913239222,954,true,false
1771606174914315083,1316,true,false
1771606174915595137,1133,true,false
1771606174916729853,1118,true,false
1771606174917848853,1254,true,false
1771606174919106968,1382,true,false
1771606174920433497,1493,true,false
1771606174921824987,1119,true,false
1771606174922946649,1149,true,false
1771606174924096592,1396,true,false
1771606174925357050,1236,true,false
1771606174926601973,1358,true,false
1771606174927963364,1665,true,false
1771606174929482785,1409,true,false
1771606174930891623,1150,true,false
1771606174932044668,1230,true,false
1771606174933277961,1509,true,false
1771606174934522721,1174,true,false
1771606174935706485,1338,true,false
1771606174937043792,1203,true,false
1771606174938246080,1003,true,false
1771606174939254955,1105,true,false
1771606174940370310,1701,true,false
1771606174941926564,1674,true,false
1771606174943527365,1581,true,false
1771606174945012447,1644,true,false
1771606174946508816,1379,true,false
1771606174947888320,1685,true,false
1771606174949354724,1357,true,false
1771606174950711980,1308,true,false
1771606174952019647,1297,true,false
1771606174953314943,1307,true,false
1771606174954626979,1542,true,false
1771606174956047480,1372,true,false
1771606174957428887,1532,true,false
1771606174958824858,1215,true,false
1771606174960041528,1616,true,false
1771606174961469946,1484,true,false
1771606174962973125,1671,true,false
1771606174964410783,1427,true,false
1771606174965840784,1636,true,false
1771606174967319133,1525,true,false
1771606174968704368,1438,true,false
1771606174970068722,1260,true,false
1771606174971360771,1392,true,false
1771606174972781638,1345,true,false
1771606174974120711,1537,true,false
1771606174975572628,1560,true,false
1771606174977065213,1448,true,false
1771606174978515668,1450,true,false
1771606174979831540,1296,true,false
1771606174981128421,1739,true,false
1771606174982495405,1381,true,false
1771606174983856163,1660,true,false
1771606174985308221,1206,true,false
1771606174986513611,1571,true,false
1771606174987908167,1288,true,false
1771606174989193064,1863,true,false
